SampleFile	SampleName	Time	Cell_line	Batch
U251_TC1_0GY_T0_S1_L001	U251_TC1_0GY_T0	T0	U251	B1
U251_TC1_5GY_T1_S2_L001	U251_TC1_5GY_T1	T1	U251	B1
U251_TC1_5GY_T24_S3_L001	U251_TC1_5GY_T24	T24	U251	B2
U251_L2_0GY_T0_S4_L001	U251_L2_0GY_T0	T0	U251	B3
U251_L2_5GY_T1_S5_L001	U251_L2_5GY_T1	T1	U251	B3
U251_L2_5GY_T24_S6_L001	U251_L2_5GY_T24	T24	U251	B4
U251_L3_5GY_T1_S8_L001	U251_L3_5GY_T1	T1	U251	B5
U251_L3_5GY_T24_S9_L001	U251_L3_5GY_T24	T24	U251	B6
U343_L1_0GY_T0_S10_L002	U343_L1_0GY_T0	T0	U343	C1
U343_L1_5GY_T1_S11_L002	U343_L1_5GY_T1	T1	U343	C1
U343_L1_5GY_T24_S12_L002	U343_L1_5GY_T24	T24	U343	C2
U343_L2_0GY_T0_S13_L002	U343_L2_0GY_T0	T0	U343	C3
U343_L2_5GY_T1_S14_L002	U343_L2_5GY_T1	T1	U343	C3
U343_L2_5GY_T24_S15_L002	U343_L2_5GY_T24	T24	U343	C4
U343_L3_0GY_T0_S16_L002	U343_L3_0GY_T0	T0	U343	C5
U343_L3_5GY_T1_S17_L002	U343_L3_5GY_T1	T1	U343	C5
U343_L3_5GY_T24_S18_L002	U343_L3_5GY_T24	T24	U343	C6
