SampleFile	SampleName	Time	Cell_line
U251_L1_T0_S13	U251_L1_T0	T0	U251
U251_L1_T1_S14	U251_L1_T1	T1	U251
U251_L1_T24_S15	U251_L1_T24	T24	U251
U251_L2_T0_b_S16	U251_L2_T0	T0	U251
U251_L2_T1_S17	U251_L2_T1	T1	U251
U251_L2_T24_S18	U251_L2_T24	T24	U251
U251_L3_T1_a_S20	U251_L3_T1	T1	U251
U251_L3_T24_S21	U251_L3_T24	T24	U251
U343_L1_T0_S22	U343_L1_T0	T0	U343
U343_L1_T1_S23	U343_L1_T1	T1	U343
U343_L1_T24_S24	U343_L1_T24	T24	U343
U343_L2_T0_S25	U343_L2_T0	T0	U343
U343_L2_T1_S26	U343_L2_T1	T1	U343
U343_L2_T24_S27	U343_L2_T24	T24	U343
U343_L3_T0_S28	U343_L3_T0	T0	U343
U343_L3_T1_S29	U343_L3_T1	T1	U343
U343_L3_T24_S30	U343_L3_T24	T24	U343
